ID,Price,Date,Postcode,Type,New,Duration,PAON,Number,Street,NA,City,City2,County,URL
E92F591D-A598-46F0-ADC0-2E8B05166A53,1000000,03/04/2014,CB2 9HD,D,N,F,,2,WINGATE WAY,TRUMPINGTON,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/E92F591D-A598-46F0-ADC0-2E8B05166A53/2014-05-12628
D3202B03-A618-419C-ABFE-708D496080FC,165000,05/11/2014,CB2 9HE,F,N,L,FLAT 23,WHITLOCKS,HIGH STREET,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D3202B03-A618-419C-ABFE-708D496080FC/2015-01-36303
F0778053-1B08-4158-AD54-EC7ACE161058,310000,22/08/2014,CB2 9HQ,F,N,L,,45,GILMERTON COURT,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/F0778053-1B08-4158-AD54-EC7ACE161058/2014-10-86201
322478F9-17F1-45FD-9407-7C21065107FD,315000,10/10/2014,CB2 9HQ,F,N,L,,6,GILMERTON COURT,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/322478F9-17F1-45FD-9407-7C21065107FD/2014-12-38774
0D0E4F6B-FE4A-41D0-8701-C8990B818596,390000,10/07/2014,CB2 9HT,S,N,F,,92,ALPHA TERRACE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/0D0E4F6B-FE4A-41D0-8701-C8990B818596/2014-08-69539
E51BB4A8-01D6-4315-B8D6-01A59584DF5F,375000,29/10/2014,CB2 9HU,T,N,F,,34,SCOTSDOWNE ROAD,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/E51BB4A8-01D6-4315-B8D6-01A59584DF5F/2014-12-00506
70C14EA5-BB0B-4D3F-ADB7-11BE25100DA5,320000,10/01/2014,CB2 9HU,S,N,F,,35,SCOTSDOWNE ROAD,TRUMPINGTON,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/70C14EA5-BB0B-4D3F-ADB7-11BE25100DA5/2014-02-06437
D741DBD0-68FF-4004-9FA6-2561E7ABE649,391500,28/11/2014,CB2 9HX,S,N,F,,10,SOUTHBROOKE CLOSE,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D741DBD0-68FF-4004-9FA6-2561E7ABE649/2015-01-12017
A170ABFD-F12C-4856-909E-2A89CFBA4843,1700000,16/07/2014,CB2 9HZ,D,N,F,,"ST. MARYS HOUSE, 47",HIGH STREET,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/A170ABFD-F12C-4856-909E-2A89CFBA4843/2014-11-15521
227CD05B-35B8-48B1-BF41-8DDA098B6A1F,385000,03/06/2014,CB2 9JA,S,N,F,,38,LINGREY COURT,TRUMPINGTON,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/227CD05B-35B8-48B1-BF41-8DDA098B6A1F/2014-07-43767
